Row," ID",Table,Description,Phân loại chiến lược,Lý do chi tiết,Special,Missing_Rate,Data_Type,Unique_Count,IV_Score,Feature_Importance_Baseline
CNT_DRAWINGS_OTHER_CURRENT,170,credit_card_balance.csv,Number of other drawings during this month on the previous credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
CNT_DRAWINGS_POS_CURRENT,171,credit_card_balance.csv,Number of drawings for goods during this month on the previous credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
CNT_INSTALMENT_MATURE_CUM,172,credit_card_balance.csv,Number of paid installments on the previous credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
NAME_CONTRACT_STATUS,173,credit_card_balance.csv,"Contract status (active signed,...) on the previous credit",Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
SK_DPD,174,credit_card_balance.csv,DPD (Days past due) during the month on the previous credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
SK_DPD_DEF,175,credit_card_balance.csv,DPD (Days past due) during the month with tolerance (debts with low loan amounts are ignored) of the previous credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
SK_ID_PREV,176,previous_application.csv,"ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loan applications in Home Credit, previous application could, but not necessarily have to lead to credit)",Keep(100%),"Là khóa chính/khóa ngoại cốt lõi để liên kết các bảng dữ liệu trong hệ thống, bắt buộc phải giữ lại.",hashed,,,,,
SK_ID_CURR,177,previous_application.csv,ID of loan in our sample,Keep(100%),"Là khóa chính/khóa ngoại cốt lõi để liên kết các bảng dữ liệu trong hệ thống, bắt buộc phải giữ lại.",hashed,,,,,
NAME_CONTRACT_TYPE,178,previous_application.csv,"Contract product type (Cash loan, consumer loan [POS] ,...) of the previous application",Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
AMT_ANNUITY,179,previous_application.csv,Annuity of previous application,Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
AMT_APPLICATION,180,previous_application.csv,For how much credit did client ask on the previous application,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
AMT_CREDIT,181,previous_application.csv,"Final credit amount on the previous application. This differs from AMT_APPLICATION in a way that the AMT_APPLICATION is the amount for which the client initially applied for, but during our approval process he could have received different amount - AMT_CREDIT",Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
AMT_DOWN_PAYMENT,182,previous_application.csv,Down payment on the previous application,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
AMT_GOODS_PRICE,183,previous_application.csv,Goods price of good that client asked for (if applicable) on the previous application,Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
WEEKDAY_APPR_PROCESS_START,184,previous_application.csv,On which day of the week did the client apply for previous application,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
HOUR_APPR_PROCESS_START,185,previous_application.csv,Approximately at what day hour did the client apply for the previous application,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",rounded,,,,,
FLAG_LAST_APPL_PER_CONTRACT,186,previous_application.csv,Flag if it was last application for the previous contract. Sometimes by mistake of client or our clerk there could be more applications for one single contract,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
NFLAG_LAST_APPL_IN_DAY,187,previous_application.csv,Flag if the application was the last application per day of the client. Sometimes clients apply for more applications a day. Rarely it could also be error in our system that one application is in the database twice,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
NFLAG_MICRO_CASH,188,previous_application.csv,Flag Micro finance loan,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
RATE_DOWN_PAYMENT,189,previous_application.csv,Down payment rate normalized on previous credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",normalized,,,,,
RATE_INTEREST_PRIMARY,190,previous_application.csv,Interest rate normalized on previous credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",normalized,,,,,
RATE_INTEREST_PRIVILEGED,191,previous_application.csv,Interest rate normalized on previous credit,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",normalized,,,,,
NAME_CASH_LOAN_PURPOSE,192,previous_application.csv,Purpose of the cash loan,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
NAME_CONTRACT_STATUS,193,previous_application.csv,"Contract status (approved, cancelled, ...) of previous application",Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
DAYS_DECISION,194,previous_application.csv,Relative to current application when was the decision about previous application made,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",time only relative to the application,,,,,
NAME_PAYMENT_TYPE,195,previous_application.csv,Payment method that client chose to pay for the previous application,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
CODE_REJECT_REASON,196,previous_application.csv,Why was the previous application rejected,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
NAME_TYPE_SUITE,197,previous_application.csv,Who accompanied client when applying for the previous application,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
NAME_CLIENT_TYPE,198,previous_application.csv,Was the client old or new client when applying for the previous application,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
NAME_GOODS_CATEGORY,199,previous_application.csv,What kind of goods did the client apply for in the previous application,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
NAME_PORTFOLIO,200,previous_application.csv,"Was the previous application for CASH, POS, CAR, â€¦",Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
NAME_PRODUCT_TYPE,201,previous_application.csv,Was the previous application x-sell o walk-in,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
CHANNEL_TYPE,202,previous_application.csv,Through which channel we acquired the client on the previous application,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
SELLERPLACE_AREA,203,previous_application.csv,Selling area of seller place of the previous application,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
NAME_SELLER_INDUSTRY,204,previous_application.csv,The industry of the seller,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
CNT_PAYMENT,205,previous_application.csv,Term of previous credit at application of the previous application,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
NAME_YIELD_GROUP,206,previous_application.csv,Grouped interest rate into small medium and high of the previous application,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",grouped,,,,,
PRODUCT_COMBINATION,207,previous_application.csv,Detailed product combination of the previous application,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
DAYS_FIRST_DRAWING,208,previous_application.csv,Relative to application date of current application when was the first disbursement of the previous application,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",time only relative to the application,,,,,
DAYS_FIRST_DUE,209,previous_application.csv,Relative to application date of current application when was the first due supposed to be of the previous application,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",time only relative to the application,,,,,
DAYS_LAST_DUE_1ST_VERSION,210,previous_application.csv,Relative to application date of current application when was the first due of the previous application,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",time only relative to the application,,,,,
DAYS_LAST_DUE,211,previous_application.csv,Relative to application date of current application when was the last due date of the previous application,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",time only relative to the application,,,,,
DAYS_TERMINATION,212,previous_application.csv,Relative to application date of current application when was the expected termination of the previous application,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",time only relative to the application,,,,,
NFLAG_INSURED_ON_APPROVAL,213,previous_application.csv,Did the client requested insurance during the previous application,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
SK_ID_PREV,214,installments_payments.csv,"ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loans in Home Credit)",Keep(100%),"Là khóa chính/khóa ngoại cốt lõi để liên kết các bảng dữ liệu trong hệ thống, bắt buộc phải giữ lại.",hashed,,,,,
SK_ID_CURR,215,installments_payments.csv,ID of loan in our sample,Keep(100%),"Là khóa chính/khóa ngoại cốt lõi để liên kết các bảng dữ liệu trong hệ thống, bắt buộc phải giữ lại.",hashed,,,,,
NUM_INSTALMENT_VERSION,216,installments_payments.csv,Version of installment calendar (0 is for credit card) of previous credit. Change of installment version from month to month signifies that some parameter of payment calendar has changed,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
NUM_INSTALMENT_NUMBER,217,installments_payments.csv,On which installment we observe payment,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
DAYS_INSTALMENT,218,installments_payments.csv,When the installment of previous credit was supposed to be paid (relative to application date of current loan),Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",time only relative to the application,,,,,
DAYS_ENTRY_PAYMENT,219,installments_payments.csv,When was the installments of previous credit paid actually (relative to application date of current loan),Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",time only relative to the application,,,,,
AMT_INSTALMENT,220,installments_payments.csv,What was the prescribed installment amount of previous credit on this installment,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
AMT_PAYMENT,221,installments_payments.csv,What the client actually paid on previous credit on this installment,Keep(100%),"Dữ liệu lịch sử thanh toán, số ngày quá hạn hoặc số lượng giao dịch trong quá khứ, cực kỳ quan trọng cho phân tích tín dụng hành vi.",,,,,,
